trackID, genre
7KXjTSCq5nL1LoYtL7XAwS,rap
7KXjTSCq5nL1LoYtL7XAwS,west coast rap
6HZILIRieu8S0iqY8kIKhj,hip hop
6HZILIRieu8S0iqY8kIKhj,rap
6HZILIRieu8S0iqY8kIKhj,west coast rap
6SwRhMLwNqEi6alNPVG00n,hip hop
6SwRhMLwNqEi6alNPVG00n,rap
6SwRhMLwNqEi6alNPVG00n,west coast rap
1EaKU4dMbesXXd3BrLCtYG,hip hop
1EaKU4dMbesXXd3BrLCtYG,rap
1EaKU4dMbesXXd3BrLCtYG,west coast rap
1n4jwRVXdkK2U34nBDUKKT,hip hop
1n4jwRVXdkK2U34nBDUKKT,rap
1n4jwRVXdkK2U34nBDUKKT,west coast rap
2LTlO3NuNVN70lp2ZbVswF,hip hop
2LTlO3NuNVN70lp2ZbVswF,rap
2LTlO3NuNVN70lp2ZbVswF,west coast rap
6PGoSes0D9eUDeeAafB2As,hip hop
6PGoSes0D9eUDeeAafB2As,rap
6PGoSes0D9eUDeeAafB2As,west coast rap
4BHSjbYylfOH5WAGusDyni,hip hop
4BHSjbYylfOH5WAGusDyni,rap
4BHSjbYylfOH5WAGusDyni,west coast rap
6IZvVAP7VPPnsGX6bvgkqg,hip hop
6IZvVAP7VPPnsGX6bvgkqg,rap
6IZvVAP7VPPnsGX6bvgkqg,west coast rap
4iYRa2btalAzPZoSYfROqF,hip hop
4iYRa2btalAzPZoSYfROqF,rap
4iYRa2btalAzPZoSYfROqF,west coast rap
06FCvd7rrRcF3DdvWH5Isp,hip hop
06FCvd7rrRcF3DdvWH5Isp,rap
06FCvd7rrRcF3DdvWH5Isp,west coast rap
2QbFClFyhMMtiurUjuQlAe,hip hop
2QbFClFyhMMtiurUjuQlAe,rap
2QbFClFyhMMtiurUjuQlAe,west coast rap
66kQ7wr4d2LwwSjr7HXcyr,hip hop
66kQ7wr4d2LwwSjr7HXcyr,rap
66kQ7wr4d2LwwSjr7HXcyr,west coast rap
4h90qkbnW1Qq6pBhoPvwko,hip hop
4h90qkbnW1Qq6pBhoPvwko,rap
4h90qkbnW1Qq6pBhoPvwko,west coast rap
439TlnnznSiBbQbgXiBqAd,hip hop
439TlnnznSiBbQbgXiBqAd,rap
439TlnnznSiBbQbgXiBqAd,west coast rap
4X5f3vT8MRuXF68pfjNte5,hip hop
4X5f3vT8MRuXF68pfjNte5,rap
4X5f3vT8MRuXF68pfjNte5,west coast rap
